date,open,high,low,close,volume,amount,sma_20,sma_50,ema_20,ema_50,MACDh_6_13_5,rsi,BBB_10_2.0,atr,cmf
202501Week1,105500,106600,102200,104500,1179331,123620743300,100275.0,88230.0,98935.6329364048,87799.2740656074,-88.45111623962475,62.30711993815101,9.025122740203933,5396.176581399816,0.0444410099867574
202501Week2,104500,113500,104500,111800,1510229,165519955900,101300.0,89032.0,100160.81075198531,88740.47900421104,620.4037565641229,69.06822066106795,13.648084501147892,5653.592540324575,0.1519888027821085
202501Week3,112600,113600,108900,109300,955134,105430397800,102280.0,89782.0,101031.20972798672,89546.7347295361,518.6785628188636,64.7825577735234,15.058807500135657,5585.478787332866,0.14712755606143513
202501Week5,113000,114200,110800,114200,362422,40894890800,103335.0,90570.0,102285.38023008322,90513.52944602488,799.72560266248,68.86092394095705,18.985336947160892,5536.516016734742,0.12997858586798014
202502Week1,111700,114500,107600,110300,1245028,138943448900,104095.0,91124.0,103048.67735102768,91289.4694677494,344.0570023265209,62.64288593459977,19.3308700689509,5633.907729962439,0.1223923259927684
202502Week2,110500,118400,109500,117700,1222233,139189081500,105100.0,91816.0,104444.04141283457,92325.1765474455,730.4926563599556,68.46210860982765,21.942934445024907,5867.200035270563,0.12864807619637558
202502Week3,117700,127200,117100,125000,1382695,168353352100,106495.0,92686.0,106401.75175446938,93606.54217303586,1380.7191260850504,72.94019213605249,27.25468536024899,6169.542890261666,0.16156092436687247
202502Week4,125000,125600,119600,120800,1369122,167352306700,107450.0,93438.0,107773.01349213897,94672.9522838972,922.8558127193428,67.04201627460598,25.20447613002496,6157.432683800733,0.09018927701506273
202503Week1,120700,127400,117400,119000,1678371,204044208400,108100.0,94134.0,108842.25030241144,95626.95415511692,300.36500001026616,64.62993235237435,22.328583222426108,6431.901778102684,0.0005147644111061321
202503Week2,118100,121000,114800,115500,1279828,150975921500,108635.0,94810.0,109476.32170218178,96406.28928628881,-457.91554921795523,60.101858795511966,20.090698558466304,6415.3373653649405,-0.03196729333418623
202503Week3,115900,123200,115900,117400,1143316,136035719850,109365.0,95502.0,110230.95773054543,97229.57205937552,-632.4620879731274,61.67174807663216,16.023450066127086,6507.098982207528,-0.054960856199468236
202503Week4,118000,124100,117300,123000,921079,111298794700,110225.0,96398.0,111447.056994303,98240.17707665492,-180.45396553309183,65.92717914919089,16.467233386101444,6528.020483495979,-0.06972055003793132
202503Week5,122600,123200,117000,118400,1104757,132750767700,111055.0,97266.0,112109.24204246461,99030.7583677665,-512.4050214150948,60.031198493090706,13.681729932483728,6504.590448942291,-0.055798831712795705
